Trang|Mô tả trang|Key|Tiếng Anh (tham khảo)|Tiếng Việt hiện tại|Tiếng Việt mới (CHỈNH SỬA CỘT NÀY)
Tin tức|Trang tin tức và cập nhật cộng đồng|news.linkCopied|Link copied!|Đã sao chép!|Đã sao chép!
Tin tức|Trang tin tức và cập nhật cộng đồng|news.previousArticle|Previous Article|Bài trước|Bài trước
Tin tức|Trang tin tức và cập nhật cộng đồng|news.nextArticle|Next Article|Bài tiếp theo|Bài tiếp theo
Tin tức|Trang tin tức và cập nhật cộng đồng|news.communityManagement|Community Management|Quản lý Cộng đồng|Quản lý Cộng đồng
--- Câu hỏi thường gặp (FAQ) ---|||||
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.pageTitle|Frequently Asked Questions|Câu Hỏi Thường Gặp|Câu Hỏi Thường Gặp
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.pageSubtitle|Everything you need to know about ABG Alumni Connect|Tất cả những gì bạn cần biết về ABG Alumni Connect|Tất cả những gì bạn cần biết về ABG Alumni Connect
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.categories.basics|Platform Basics|Thông tin cơ bản|Thông tin cơ bản
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.categories.features|Features & Matching|Tính năng & Ghép đôi|Tính năng & Ghép đôi
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.categories.privacy|Privacy & Security|Quyền riêng tư & Bảo mật|Quyền riêng tư & Bảo mật
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.categories.premium|Premium & Payments|Premium & Thanh toán|Premium & Thanh toán
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q1|What is ABG Alumni Connect?|ABG Alumni Connect là gì?|ABG Alumni Connect là gì?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a1|ABG Alumni Connect is an AI-powered networking platform exclusively for ABG Alumni members (~600 people). It helps you find the right connections for career advice, business partnerships, hiring, and even dating within our trusted community.|ABG Alumni Connect là nền tảng kết nối thông minh dành riêng cho anh chị em ABG Alumni (~600 thành viên). Hệ thống dùng AI để giúp bạn tìm đúng người cho công việc, kinh doanh, tuyển dụng, hay cả hẹn hò trong cộng đồng mình.|ABG Alumni Connect là nền tảng kết nối thông minh dành riêng cho anh chị em ABG Alumni (~600 thành viên). Hệ thống dùng AI để giúp bạn tìm đúng người cho công việc, kinh doanh, tuyển dụng, hay cả hẹn hò trong cộng đồng mình.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q2|Who can join ABG Alumni Connect?|Ai có thể tham gia ABG Alumni Connect?|Ai có thể tham gia ABG Alumni Connect?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a2|Only verified ABG Alumni members can join. When you sign up, your profile goes through an admin approval process. If you use the email registered with your ABG class, you may be auto-approved.|Chỉ thành viên ABG Alumni đã xác minh mới được tham gia. Khi đăng ký, hồ sơ sẽ qua bước duyệt của admin. Nếu bạn dùng email đã đăng ký lớp ABG thì có thể được duyệt tự động.|Chỉ thành viên ABG Alumni đã xác minh mới được tham gia. Khi đăng ký, hồ sơ sẽ qua bước duyệt của admin. Nếu bạn dùng email đã đăng ký lớp ABG thì có thể được duyệt tự động.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q3|How do I sign up and get approved?|Đăng ký và được duyệt như thế nào?|Đăng ký và được duyệt như thế nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a3|Sign up using Google or Magic Link (email), fill in your profile with 8 required fields, then submit for review. Admin typically reviews within 24 hours. You will be notified by email once approved.|Đăng ký bằng Google hoặc Magic Link (email), điền đủ 8 thông tin bắt buộc, rồi gửi hồ sơ chờ duyệt. Admin thường duyệt trong vòng 24 giờ. Bạn sẽ nhận email thông báo khi được duyệt.|Đăng ký bằng Google hoặc Magic Link (email), điền đủ 8 thông tin bắt buộc, rồi gửi hồ sơ chờ duyệt. Admin thường duyệt trong vòng 24 giờ. Bạn sẽ nhận email thông báo khi được duyệt.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q4|How does AI matching work?|AI ghép đôi hoạt động như thế nào?|AI ghép đôi hoạt động như thế nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a4|Our AI (powered by Google Gemini) analyzes your request and compares it against all member profiles to find the top 5 most relevant matches, each scored from 0-100. Premium members can see the full match scores.|AI (dùng Google Gemini) phân tích yêu cầu của bạn và so sánh với tất cả hồ sơ thành viên để tìm top 5 người phù hợp nhất, mỗi người được chấm điểm từ 0-100. Thành viên Premium có thể xem điểm tương thích đầy đủ.|AI (dùng Google Gemini) phân tích yêu cầu của bạn và so sánh với tất cả hồ sơ thành viên để tìm top 5 người phù hợp nhất, mỗi người được chấm điểm từ 0-100. Thành viên Premium có thể xem điểm tương thích đầy đủ.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q5|What types of connections can I request?|Có những loại kết nối nào?|Có những loại kết nối nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a5|There are 4 categories: Love (dating), Job (job hunting), Hiring (recruitment), and Partner (business partnerships or networking). Choose the one that fits your need when submitting a request.|Có 4 loại: Love (hẹn hò), Job (tìm việc), Hiring (tuyển dụng), và Partner (hợp tác kinh doanh). Chọn loại phù hợp khi gửi yêu cầu.|Có 4 loại: Love (hẹn hò), Job (tìm việc), Hiring (tuyển dụng), và Partner (hợp tác kinh doanh). Chọn loại phù hợp khi gửi yêu cầu.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q6|What is Love Matching and how does it work?|Love Matching là gì và hoạt động ra sao?|Love Matching là gì và hoạt động ra sao?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a6|Love Matching is our anonymous dating feature. When you send a love match request, the other person receives an anonymized preview of your profile. They have 3 days to accept, refuse, or let it expire. If they accept, both identities are revealed and an intro email is sent.|Love Matching là tính năng hẹn hò ẩn danh. Khi bạn gửi yêu cầu, đối phương chỉ thấy hồ sơ ẩn danh (không tên, không ảnh). Họ có 3 ngày để chấp nhận, từ chối, hoặc để hết hạn. Nếu chấp nhận, danh tính cả hai được tiết lộ và email giới thiệu được gửi đi.|Love Matching là tính năng hẹn hò ẩn danh. Khi bạn gửi yêu cầu, đối phương chỉ thấy hồ sơ ẩn danh (không tên, không ảnh). Họ có 3 ngày để chấp nhận, từ chối, hoặc để hết hạn. Nếu chấp nhận, danh tính cả hai được tiết lộ và email giới thiệu được gửi đi.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q7|Can I reroll/refresh my match results?|Có thể tìm lại kết quả ghép đôi không?|Có thể tìm lại kết quả ghép đôi không?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a7|Yes! Click "Run Again" to get fresh AI matches. Note that each reroll counts against your request quota (3 lifetime for Basic, 100/month for Premium).|Được! Bấm "Tìm lại" để AI tìm kết quả mới. Lưu ý mỗi lần tìm lại sẽ tính vào lượt của bạn (Basic: 3 lượt cả đời, Premium: 100 lượt/tháng).|Được! Bấm "Tìm lại" để AI tìm kết quả mới. Lưu ý mỗi lần tìm lại sẽ tính vào lượt của bạn (Basic: 3 lượt cả đời, Premium: 100 lượt/tháng).
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q8|Who can see my profile information?|Ai có thể xem thông tin hồ sơ của tôi?|Ai có thể xem thông tin hồ sơ của tôi?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a8|Only approved members can view profiles. Basic tier members see blurred names and limited details. Premium members see full profiles. Your phone, LinkedIn, and other sensitive info are only visible to Premium members.|Chỉ thành viên đã được duyệt mới xem được hồ sơ. Thành viên Basic thấy tên bị mờ và thông tin hạn chế. Thành viên Premium thấy đầy đủ. SĐT, LinkedIn và thông tin nhạy cảm chỉ hiển thị cho Premium.|Chỉ thành viên đã được duyệt mới xem được hồ sơ. Thành viên Basic thấy tên bị mờ và thông tin hạn chế. Thành viên Premium thấy đầy đủ. SĐT, LinkedIn và thông tin nhạy cảm chỉ hiển thị cho Premium.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q9|How does anonymous love matching protect my identity?|Tính năng hẹn hò ẩn danh bảo vệ danh tính như thế nào?|Tính năng hẹn hò ẩn danh bảo vệ danh tính như thế nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a9|When you send a love match request, the receiver only sees an anonymized profile preview - no name, no photo, no identifying details. Your identity is only revealed if the other person accepts the match.|Khi bạn gửi yêu cầu love match, người nhận chỉ thấy hồ sơ đã ẩn danh - không tên, không ảnh, không thông tin nhận dạng. Danh tính chỉ được tiết lộ khi đối phương chấp nhận.|Khi bạn gửi yêu cầu love match, người nhận chỉ thấy hồ sơ đã ẩn danh - không tên, không ảnh, không thông tin nhận dạng. Danh tính chỉ được tiết lộ khi đối phương chấp nhận.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q10|Is my personal data safe?|Dữ liệu cá nhân có an toàn không?|Dữ liệu cá nhân có an toàn không?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a10|Yes. All data is stored on Supabase with Row Level Security (RLS) policies, hosted on Vercel with enterprise-grade infrastructure. We never share your data with third parties.|An toàn. Toàn bộ dữ liệu được lưu trên Supabase với chính sách Row Level Security (RLS), hosted trên Vercel với hạ tầng bảo mật doanh nghiệp. Chúng tôi không chia sẻ dữ liệu với bên thứ ba.|An toàn. Toàn bộ dữ liệu được lưu trên Supabase với chính sách Row Level Security (RLS), hosted trên Vercel với hạ tầng bảo mật doanh nghiệp. Chúng tôi không chia sẻ dữ liệu với bên thứ ba.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q11|Can I control what information is shown (nickname settings)?|Có thể kiểm soát thông tin hiển thị (cài đặt biệt danh) không?|Có thể kiểm soát thông tin hiển thị (cài đặt biệt danh) không?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a11|Yes. You can set a nickname and choose where it appears instead of your full name: in search results, match suggestions, and introduction emails. Configure this in your profile privacy settings.|Được. Bạn có thể đặt biệt danh và chọn nơi hiển thị thay cho tên thật: trong kết quả tìm kiếm, gợi ý ghép đôi, và email giới thiệu. Cài đặt tại phần quyền riêng tư trong hồ sơ.|Được. Bạn có thể đặt biệt danh và chọn nơi hiển thị thay cho tên thật: trong kết quả tìm kiếm, gợi ý ghép đôi, và email giới thiệu. Cài đặt tại phần quyền riêng tư trong hồ sơ.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q12|What is the difference between Basic and Premium?|Basic và Premium khác nhau thế nào?|Basic và Premium khác nhau thế nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a12|Basic gives you 3 free lifetime requests with blurred match results. Premium gives you 100 requests per month, full unblurred profiles, visible match scores, and access to all member details.|Basic cho bạn 3 lượt miễn phí (cả đời) với kết quả bị mờ. Premium cho 100 lượt/tháng, xem hồ sơ đầy đủ không mờ, thấy điểm tương thích, và truy cập toàn bộ thông tin thành viên.|Basic cho bạn 3 lượt miễn phí (cả đời) với kết quả bị mờ. Premium cho 100 lượt/tháng, xem hồ sơ đầy đủ không mờ, thấy điểm tương thích, và truy cập toàn bộ thông tin thành viên.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q13|How many requests do I get on each tier?|Mỗi gói có bao nhiêu lượt yêu cầu?|Mỗi gói có bao nhiêu lượt yêu cầu?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a13|Basic: 3 requests total (lifetime). Premium: 100 requests per month, with the counter resetting monthly. Each search or reroll counts as one request.|Basic: 3 lượt tổng cộng (cả đời). Premium: 100 lượt/tháng, tự động reset hàng tháng. Mỗi lần tìm kiếm hoặc tìm lại tính là 1 lượt.|Basic: 3 lượt tổng cộng (cả đời). Premium: 100 lượt/tháng, tự động reset hàng tháng. Mỗi lần tìm kiếm hoặc tìm lại tính là 1 lượt.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q14|How do I upgrade to Premium and what payment methods are accepted?|Nâng cấp Premium như thế nào và chấp nhận thanh toán gì?|Nâng cấp Premium như thế nào và chấp nhận thanh toán gì?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a14|Go to your profile or the upgrade page and follow the payment instructions. Currently we accept bank transfer only. Transfer the displayed amount with the provided reference code.|Vào hồ sơ hoặc trang nâng cấp và làm theo hướng dẫn. Hiện tại chỉ nhận chuyển khoản ngân hàng. Chuyển đúng số tiền với mã tham chiếu được cung cấp.|Vào hồ sơ hoặc trang nâng cấp và làm theo hướng dẫn. Hiện tại chỉ nhận chuyển khoản ngân hàng. Chuyển đúng số tiền với mã tham chiếu được cung cấp.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q15|How long does payment verification take?|Xác minh thanh toán mất bao lâu?|Xác minh thanh toán mất bao lâu?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a15|Admin verifies payments within 24 hours. Once confirmed, your Premium membership is activated immediately and you will receive an email notification.|Admin xác minh thanh toán trong vòng 24 giờ. Sau khi xác nhận, tài khoản Premium được kích hoạt ngay và bạn sẽ nhận email thông báo.|Admin xác minh thanh toán trong vòng 24 giờ. Sau khi xác nhận, tài khoản Premium được kích hoạt ngay và bạn sẽ nhận email thông báo.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q16|When does my Premium membership expire?|Premium hết hạn khi nào?|Premium hết hạn khi nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a16|Premium memberships have a fixed expiration date (currently December 31, 2026). After expiry, your account automatically downgrades to Basic tier.|Tài khoản Premium có ngày hết hạn cố định (hiện tại là 31/12/2026). Sau khi hết hạn, tài khoản tự động chuyển về gói Basic.|Tài khoản Premium có ngày hết hạn cố định (hiện tại là 31/12/2026). Sau khi hết hạn, tài khoản tự động chuyển về gói Basic.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q17|Can I get a refund?|Có được hoàn tiền không?|Có được hoàn tiền không?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a17|Refunds are not available for Premium memberships once activated. Please review the tier benefits carefully before upgrading. Contact admin if you have special circumstances.|Không hoàn tiền sau khi Premium đã được kích hoạt. Vui lòng xem kỹ quyền lợi các gói trước khi nâng cấp. Liên hệ admin nếu có trường hợp đặc biệt.|Không hoàn tiền sau khi Premium đã được kích hoạt. Vui lòng xem kỹ quyền lợi các gói trước khi nâng cấp. Liên hệ admin nếu có trường hợp đặc biệt.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q18|What features are available on the platform?|Nền tảng này có những tính năng gì?|Nền tảng này có những tính năng gì?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a18|The platform offers AI Connections (for finding business partners, jobs, hiring, and love matches), a member directory Search (for searching without AI), and a News section for community updates.|Nền tảng cung cấp tính năng Kết nối AI (để tìm đối tác kinh doanh, tìm việc, tuyển dụng, và ghép đôi hẹn hò), Tìm kiếm danh bạ thành viên (tìm thủ công không dùng AI), và chuyên mục Tin tức cập nhật thông tin cộng đồng.|Nền tảng cung cấp tính năng Kết nối AI (để tìm đối tác kinh doanh, tìm việc, tuyển dụng, và ghép đôi hẹn hò), Tìm kiếm danh bạ thành viên (tìm thủ công không dùng AI), và chuyên mục Tin tức cập nhật thông tin cộng đồng.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q19|How does the AI connection work?|Tính năng kết nối bằng AI hoạt động thế nào?|Tính năng kết nối bằng AI hoạt động thế nào?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a19|The AI analyzes your specific needs and compares them against all member profiles to find the most relevant matches. It provides a match score and explains why you were matched before you send a connection request.|AI sẽ phân tích nhu cầu cụ thể của bạn và so sánh với tất cả hồ sơ để tìm ra những người phù hợp nhất. Hệ thống sẽ cung cấp điểm tương thích và giải thích lý do tại sao hai bản profile lại hợp nhau.|AI sẽ phân tích nhu cầu cụ thể của bạn và so sánh với tất cả hồ sơ để tìm ra những người phù hợp nhất. Hệ thống sẽ cung cấp điểm tương thích và giải thích lý do tại sao hai bản profile lại hợp nhau.
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.q20|How does the regular search (without AI) work?|Tính năng tìm kiếm thông thường (không dùng AI) hoạt động ra sao?|Tính năng tìm kiếm thông thường (không dùng AI) hoạt động ra sao?
Câu hỏi thường gặp (FAQ)|Trang FAQ với các câu hỏi và trả lời|faq.a20|The regular search allows you to browse the member directory manually. You can search by keywords like name, company, role, or expertise to find specific people without using your AI request quota.|Tìm kiếm thông thường cho phép bạn tự duyệt danh bạ thành viên. Bạn có thể tra cứu theo từ khóa như tên, công ty, chức vụ hoặc chuyên môn để chủ động tìm đúng người mà không tốn lượt yêu cầu AI.|Tìm kiếm thông thường cho phép bạn tự duyệt danh bạ thành viên. Bạn có thể tra cứu theo từ khóa như tên, công ty, chức vụ hoặc chuyên môn để chủ động tìm đúng người mà không tốn lượt yêu cầu AI.
--- Mẫu email ---|||||
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.subject|Welcome to ABG Alumni Connect!|Chào mừng bạn đến với ABG Alumni Connect!|Chào mừng bạn đến với ABG Alumni Connect!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.greeting|Hi {name},|Xin chào {name},|Xin chào {name},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.bioIntro|Your profile has been created successfully. Here is your generated bio:|Hồ sơ của bạn đã được tạo thành công. Dưới đây là phần giới thiệu của bạn:|Hồ sơ của bạn đã được tạo thành công. Dưới đây là phần giới thiệu của bạn:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.canFind|Other members can now find and connect with you based on your expertise.|Các thành viên khác giờ đây có thể tìm thấy và kết nối với bạn dựa trên chuyên môn của bạn.|Các thành viên khác giờ đây có thể tìm thấy và kết nối với bạn dựa trên chuyên môn của bạn.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.readyToConnect|Ready to start connecting? Sign in to browse members and submit connection requests.|Sẵn sàng kết nối? Hãy đăng nhập để bắt đầu tìm kiếm và gửi yêu cầu kết nối.|Sẵn sàng kết nối? Hãy đăng nhập để bắt đầu tìm kiếm và gửi yêu cầu kết nối.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.signInNow|Sign In Now|Đăng nhập ngay|Đăng nhập ngay
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.onboarding.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.subject|ABG Connect: {requesterName} would like to connect with you|ABG Connect: {requesterName} muốn bắt sóng với bạn|ABG Connect: {requesterName} muốn bắt sóng với bạn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.greeting|Hi {targetName},|Chào {targetName},|Chào {targetName},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.lookingFor|{requesterName} ({requesterRole} at {requesterCompany}) is looking for:|{requesterName} ({requesterRole} tại {requesterCompany}) đang cần:|{requesterName} ({requesterRole} tại {requesterCompany}) đang cần:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.whyMatched|Why we matched you:|Lý do ghép đôi:|Lý do ghép đôi:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.replyPrompt|If you're open to connecting, simply reply to this email - both parties are included.|Nếu ok thì cứ reply email này nhé - cả hai đều nhận được.|Nếu ok thì cứ reply email này nhé - cả hai đều nhận được.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.regards|Best regards,|Thân ái,|Thân ái,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.intro.footer|This introduction was requested through ABG Alumni Connect. Both {requesterName} and {targetName} received this email.|Kèo này được kết nối qua ABG Alumni Connect.|Kèo này được kết nối qua ABG Alumni Connect.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.subject|Welcome to ABG Alumni Connect - Application Approved!|Chào mừng bạn đến với ABG Alumni Connect - Đơn đăng ký đã được duyệt!|Chào mừng bạn đến với ABG Alumni Connect - Đơn đăng ký đã được duyệt!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.greeting|Congratulations, {name}!|Chúc mừng {name}!|Chúc mừng {name}!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.approved|Your membership application has been approved.|Đơn đăng ký thành viên của bạn đã được phê duyệt.|Đơn đăng ký thành viên của bạn đã được phê duyệt.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.basicMember|You've been activated as a Basic Member. Here's what you can do right away:|Bạn đã được kích hoạt với tư cách Thành viên Cơ bản. Đây là những gì bạn có thể làm ngay:|Bạn đã được kích hoạt với tư cách Thành viên Cơ bản. Đây là những gì bạn có thể làm ngay:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.benefit1|Browse and search the ABG alumni directory|Duyệt và tìm kiếm danh bạ alumni ABG|Duyệt và tìm kiếm danh bạ alumni ABG
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.benefit2|Update your profile and showcase your expertise|Cập nhật hồ sơ và giới thiệu chuyên môn của bạn|Cập nhật hồ sơ và giới thiệu chuyên môn của bạn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.benefit3|Submit up to 5 connection requests per month|Gửi tối đa 5 yêu cầu kết nối mỗi tháng|Gửi tối đa 5 yêu cầu kết nối mỗi tháng
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.benefit4|Up to 3 AI-powered searches per month|Tối đa 3 lượt tìm kiếm AI mỗi tháng|Tối đa 3 lượt tìm kiếm AI mỗi tháng
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.signInNow|Sign In Now|Đăng nhập ngay|Đăng nhập ngay
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.upgradeToPro|Upgrade to Pro|Nâng cấp lên Pro|Nâng cấp lên Pro
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.upgradeUnlock|to unlock full access:|để mở khóa toàn bộ tính năng:|để mở khóa toàn bộ tính năng:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.proBenefit1|Up to 100 connection requests per month|Tối đa 100 yêu cầu kết nối mỗi tháng|Tối đa 100 yêu cầu kết nối mỗi tháng
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.proBenefit2|See full member profiles (name, phone, LinkedIn)|Xem đầy đủ hồ sơ thành viên (tên, SĐT, LinkedIn)|Xem đầy đủ hồ sơ thành viên (tên, SĐT, LinkedIn)
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.proBenefit3|Up to 10 AI-powered searches per month|Tối đa 10 lượt tìm kiếm AI mỗi tháng|Tối đa 10 lượt tìm kiếm AI mỗi tháng
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.proBenefit4|Priority matching and support|Ưu tiên ghép đôi và hỗ trợ|Ưu tiên ghép đôi và hỗ trợ
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.contactUpgrade|Contact us at|Liên hệ chúng tôi tại|Liên hệ chúng tôi tại
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.contactUpgradeSuffix|to upgrade.|để nâng cấp.|để nâng cấp.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.approval.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.subject|ABG Alumni Connect - Application Update|ABG Alumni Connect - Cập nhật đơn đăng ký|ABG Alumni Connect - Cập nhật đơn đăng ký
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.greeting|Hi {name},|Xin chào {name},|Xin chào {name},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.thanks|Thank you for your interest in ABG Alumni Connect.|Cảm ơn bạn đã quan tâm đến ABG Alumni Connect.|Cảm ơn bạn đã quan tâm đến ABG Alumni Connect.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.unableToVerify|After reviewing your application, we were unable to verify your information against our ABG class records. This may happen if:|Sau khi xem xét đơn đăng ký, chúng tôi chưa thể xác minh thông tin của bạn với hồ sơ lớp ABG. Điều này có thể xảy ra nếu:|Sau khi xem xét đơn đăng ký, chúng tôi chưa thể xác minh thông tin của bạn với hồ sơ lớp ABG. Điều này có thể xảy ra nếu:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.reason1|Your registered email does not match our alumni database|Email đăng ký không khớp với cơ sở dữ liệu alumni của chúng tôi|Email đăng ký không khớp với cơ sở dữ liệu alumni của chúng tôi
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.reason2|The class name you provided does not match any ABG program|Tên lớp bạn cung cấp không khớp với chương trình ABG nào|Tên lớp bạn cung cấp không khớp với chương trình ABG nào
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.reason3|Your name could not be found in the selected class roster|Không tìm thấy tên bạn trong danh sách lớp đã chọn|Không tìm thấy tên bạn trong danh sách lớp đã chọn
